site           roi      hw_raw     hw_norm   orth_norm
5.0           44.0       75.47       50.23      0.2225
5.0           45.0        56.4       45.46     0.24956
5.0           46.0       39.55       41.53   -0.063752
5.0           47.0       77.45       65.54     0.18699
5.0           48.0       76.79       77.89   -0.062021
5.0           49.0       67.06       49.61      0.2831
5.0           50.0        64.1       62.58    0.068196
5.0           51.0       70.33        75.1    -0.11223
5.0           52.0       74.17       72.42    0.010259
5.0           53.0       45.85       43.67    0.085674
5.0           54.0       74.78       47.45     0.25238
5.0           55.0        null        null        null
5.0           56.0       60.18       54.12     0.18132
5.0           57.0        null        null        null
5.0           58.0       67.69       60.95     0.14176
5.0           59.0       64.49       53.34     0.17024
5.0           60.0       49.05       49.72   -0.012549
5.0           61.0        70.5       62.24     0.17221
5.0           62.0       62.78       57.02     0.12324
5.0           63.0       55.11       55.53   -0.020948
5.0           64.0       52.85       53.06  -0.0065659
5.0           65.0       61.83       52.64     0.16449
5.0           66.0       65.61       53.85     0.22933
5.0           67.0       64.72       54.38     0.21059
5.0           68.0          48       44.31    0.093827
5.0           69.0       54.65       52.73    0.043898
5.0           70.0       49.87       46.32     0.08746
5.0           71.0       60.31       48.94     0.28454
5.0           72.0          47        49.4   -0.081332
5.0           73.0       48.25       40.74     0.20023
5.0           74.0       50.93       50.08   0.0087436
5.0           75.0       49.54       43.15     0.16273
5.0           76.0       48.83       47.68    0.055624
5.0           77.0       43.99       41.68     0.06067
5.0           78.0       65.44       69.93    -0.16092
5.0           79.0       54.09       51.82    0.038792
5.0           80.0       56.68       57.52   -0.018647
5.0           81.0       55.19       59.82    -0.11382
5.0           82.0       59.52       51.83     0.13688
5.0           83.0       60.23       57.84    0.079281
5.0           84.0        null        null        null
5.0           85.0       52.42       49.37    0.083424
5.0           86.0       46.28       37.18     0.30923
5.0           87.0       69.36       63.38     0.13864
5.0           88.0       49.64       56.56   -0.017412
5.0           89.0       47.33       46.18    0.023717
5.0           90.0        40.8       39.62    0.031674
5.0           91.0       48.23       43.64     0.11517
5.0           92.0       59.01       50.66     0.19578
5.0           93.0       44.85       39.63     0.17485
5.0           94.0       42.99       42.05    0.032265
5.0           95.0       45.78       41.08     0.15565
5.0           96.0          54       44.56     0.26385
5.0           97.0       45.68       39.65     0.17223
5.0           98.0       41.76       40.02    0.071799
5.0           99.0        null        null        null
5.0          100.0       50.88       50.58   0.0060126
5.0          101.0       38.72        38.3   0.0074993
5.0          102.0        null        null        null
5.0          103.0       44.14       53.12    -0.04172
5.0          104.0        null        null        null
5.0          105.0        null        null        null
5.0          106.0        null        null        null
5.0          107.0       43.29       41.96    0.039138
5.0          108.0       56.28       43.76     0.32892
5.0          109.0       40.34       41.71   -0.055814
5.0          110.0        null        null        null
5.0          111.0       76.55       79.66   -0.032849
5.0          112.0       52.14       74.39   -0.094498
5.0          113.0        null        null        null
5.0          114.0       56.58       57.72    -0.02932
5.0          115.0        null        null        null
5.0          116.0       61.95        59.6    0.057335
5.0          117.0        null        null        null
5.0          118.0        null        null        null
5.0          119.0        null        null        null
5.0          120.0        null        null        null
5.0          121.0       58.41        55.8    0.075705
5.0          122.0       55.71       52.29    0.095862
5.0          123.0        null        null        null
5.0          124.0       66.74       59.74     0.14907
5.0          125.0        null        null        null
5.0          126.0        null        null        null
5.0          127.0       46.45       45.27    0.052619
5.0          128.0        null        null        null
5.0          129.0       59.37       52.35     0.16701
5.0          130.0        null        null        null
5.0          131.0        null        null        null
5.0          132.0        null        null        null
5.0          133.0        null        null        null
5.0          134.0       49.91       45.83     0.10968
5.0          135.0       51.05       48.49    0.073402
5.0          136.0       49.76       44.24     0.15147
5.0          137.0       61.16       53.45     0.13033
5.0          138.0        null        null        null
5.0          139.0       56.21       52.92    0.089868
5.0          140.0        null        null        null
5.0          141.0       55.54       51.36    0.093518
5.0          142.0        null        null        null
5.0          143.0        null        null        null
5.0          144.0       59.04       55.64    0.057256
5.0          145.0        null        null        null
5.0          146.0        null        null        null
5.0          147.0        null        null        null
5.0          148.0        null        null        null
6.0            0.0       58.34       55.37    0.076422
6.0            1.0       92.96       58.11     0.31578
6.0            2.0      102.85       76.15     0.23759
6.0            3.0        76.1       67.13     0.15175
6.0            4.0        39.1       39.19  -0.0038553
6.0            5.0       55.24       53.13    0.048805
6.0            6.0      105.13       69.16     0.31017
6.0            7.0       73.16          60     0.24339
6.0            8.0        null        null        null
