site        roi         bsf         bdr         dsi         osi         dcv         ocv         
4           71          5.12        330         0.334059    0.962037    0.806678    0.243573    
4           72          2.56        0           0.383113    0.863828    0.856569    0.443366    
4           73          2.56        0           0.341111    1           0.852325    0.192914    
4           74          2.56        0           0.292812    0.390736    0.813504    0.819862    
4           75          2.56        30          0.396145    0.547641    0.710081    0.605846    
4           76          5.12        180         0.0967998   0.978079    0.896256    0.309839    
4           77          1.92        60          0.222502    0.0406009   0.870539    0.854676    
4           78          3.84        330         0.607461    0.250626    0.775633    0.873276    
4           79          5.12        330         0.269776    0.301538    0.942423    0.726681    
4           80          2.56        120         0.83322     0.0644817   0.52792     0.867585    
4           81          2.56        30          0.116324    0.385095    0.914796    0.673198    
4           82          3.84        180         0.107412    1           0.953748    0.355318    
4           83          5.12        330         0.32126     0.939378    0.90395     0.360087    
4           84          1.92        150         0.353633    0.0418596   0.81536     0.856426    
4           85          5.12        180         0.194254    0.966632    0.884356    0.245938    
4           86          5.12        330         0.310745    0.996282    0.8777      0.190761    
4           87          5.12        330         0.363267    0.97896     0.891723    0.437884    
4           88          1.28        150         0.650229    1           0.501567    0.427307    
4           89          3.84        150         0.0310147   0.902366    0.951783    0.275009    
4           90          5.12        180         0.118152    0.873093    0.949806    0.330831    
4           91          5.12        330         0.318946    0.605484    0.860252    0.570063    
4           92          5.12        180         0.154326    0.51319     0.986306    0.635149    
4           93          3.84        240         0.0988356   0.345115    0.890424    0.84116     
4           94          5.12        330         0.240714    0.910424    0.816632    0.293168    
4           95          5.12        180         0.219661    0.824602    0.932091    0.329816    
4           96          3.84        180         0.25269     0.834811    0.859016    0.453287    
4           97          5.12        330         0.328355    0.551754    0.859226    0.624527    
4           98          5.12        330         0.178157    0.951279    0.90849     0.319631    
4           99          10.24       180         0.121069    0.667695    0.958216    0.511377    
4           100         5.12        330         0.262162    0.835475    0.861978    0.407013    
4           101         5.12        180         0.278994    0.763989    0.934451    0.451792    
4           102         5.12        330         0.337044    0.903735    0.766347    0.307072    
4           103         5.12        330         0.174023    0.975216    0.836538    0.239758    
4           104         5.12        330         0.472987    0.82698     0.701233    0.361963    
4           105         5.12        180         0.330809    0.951239    0.932431    0.308274    
4           106         5.12        30          0.031663    0.884969    0.943651    0.437767    
4           107         5.12        180         0.286027    0.950638    0.843826    0.263949    
4           108         10.24       150         0.104872    1           0.872387    0.095069    
4           109         5.12        180         0.220901    0.881087    0.941963    0.371719    
4           110         10.24       330         0.0670987   0.89603     0.945999    0.299393    
4           111         5.12        180         0.167963    0.678124    0.905321    0.516403    
4           112         5.12        180         0.0947017   0.873582    0.959906    0.332899    
4           113         3.84        150         0.0997123   0.907161    0.887441    0.25497     
4           114         7.68        0           0.0943021   0.937409    0.934295    0.146644    
4           115         5.12        30          0.202337    0.677455    0.99389     0.532996    
4           116         3.84        210         0.074324    0.769144    0.933169    0.517192    
4           117         10.24       180         0.468556    0.652877    0.928686    0.636767    
4           118         7.68        120         0.0773593   1           0.992535    0.206524    
4           119         10.24       330         0.0419075   0.730924    0.894129    0.457739    
4           120         5.12        330         0.310236    0.842341    0.943407    0.3284      
4           121         10.24       330         0.0708686   1           0.920707    0.183618    
4           122         7.68        330         0.185802    1           0.969161    0.323825    
4           123         3.84        240         0.119579    0.480247    0.937689    0.645186    
4           124         10.24       330         0.0683429   0.964408    0.953502    0.213452    
4           125         10.24       0           0.139865    1           0.799347    0.280499    
4           126         10.24       330         0.144459    0.964561    0.84767     0.233215    
4           127         2.56        90          0.299954    0.664408    0.771728    0.556243    
4           128         7.68        0           0.0391394   0.688817    0.883871    0.661783    
4           129         10.24       150         0.12447     1           0.886414    0.0544096   
4           130         2.56        30          0.567781    0.363622    0.611271    0.627456    
4           131         10.24       150         0.00786533  0.817821    0.879979    0.365314    
4           132         7.68        0           0.227595    0.773022    0.888313    0.510969    
4           133         2.56        120         0.125428    0.441693    0.857968    0.549034    
4           134         7.68        0           0.083001    0.996993    0.924856    0.245058    
4           135         10.24       330         0.0620517   0.590946    0.931788    0.511817    
4           136         5.12        180         0.431458    0.456933    0.896052    0.744905    
4           137         3.84        240         0.108447    0.982765    0.862956    0.256436    
4           138         2.56        60          0.287428    0.992903    0.745873    0.239713    
4           139         3.84        240         0.0688193   0.836231    0.878143    0.459141    
4           140         10.24       330         0.0870497   0.776725    0.864681    0.374536    
4           141         3.84        240         0.0619731   0.886692    0.894525    0.336031    
4           142         3.84        240         0.065345    0.901191    0.940675    0.294697    
4           143         10.24       120         0.259374    0.600635    0.889413    0.532763    
4           144         3.84        60          0.455163    0.969485    0.613539    0.137239    
4           145         10.24       120         0.256169    0.607961    0.912122    0.732102    
4           146         3.84        240         0.0584767   0.679074    0.915624    0.425697    
4           147         3.84        240         0.0381811   0.900109    0.916211    0.287291    
4           148         3.84        240         0.00432167  0.940494    0.928158    0.320304    
4           149         3.84        240         0.0569523   0.954407    0.958707    0.305275    
4           150         3.84        240         0.043288    0.818574    0.942441    0.419457    
4           151         3.84        240         0.0774878   0.947174    0.924883    0.389347    
4           152         3.84        150         0.4998      0.189558    0.853903    0.821767    
4           153         7.68        240         0.52741     1           0.534234    0.124542    
4           154         10.24       330         0.197356    0.616076    0.960821    0.638318    
4           155         7.68        30          0.289331    0.950459    0.862726    0.299128    
4           156         3.84        240         0.097451    0.963474    0.889739    0.395915    
4           157         3.84        240         0.0912096   0.955021    0.823864    0.221476    
4           158         3.84        60          0.0482214   1           0.986714    0.253174    
4           159         3.84        240         0.125461    0.879514    0.876835    0.409339    
5           0           2.56        240         0.0598931   0.698984    0.85146     0.542099    
5           1           1.92        300         0.445362    0.76724     0.819069    0.504728    
5           2           2.56        240         0.10537     0.862042    0.875545    0.586827    
5           3           2.56        90          0.130389    0.654171    0.949577    0.657472    
5           4           2.56        60          0.144996    0.652257    0.993788    0.614546    
5           5           2.56        300         0.380271    0.343853    0.89382     0.684044    
5           6           3.84        300         0.0528677   0.459384    0.884644    0.633702    
