site       ROI        LHI2            LHI3           
7          81         0.057176        0.082909       
7          82         0.058602        0.22627        
7          83         0.032436        0.14476        
7          84         0.088151        0.21271        
7          85         0.17046         0.20954        
7          86         0.030076        0.067869       
7          87         0.022505        0.12501        
7          88         0.053051        0.18388        
7          89         0.066661        0.19442        
7          90         0.029569        0.076507       
7          91         0.13276         0.17113        
7          92         0.073224        0.19048        
7          93         0.33825         0.3663         
